#  file: fmRawProjectAuthors2013-Sep.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in Sep of 2013
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2013) 
#  The project is available at: http://flossmole.org
#
#  SELECT fp.project_id, fp.projectname_short, fpa.author_name, fpa.author_role 
#  FROM `fm_project_authors` fpa, fm_projects fp 
#  WHERE fp.datasource_id=387
#  AND fpa.datasource_id=387
#  AND fpa.project_id = fp.project_id
#  ORDER BY fp.project_id
#
#  datasource_id = 387 is the Sep 2013 run on freshmeat.
project_id	projectname_short	author_name	author_role
1299	citygen    	Ken Witherow	Owner
1303	sbit    	timecop	Owner
1304	ckmame    	Dillo	Admin
1304	ckmame    	Wiz	Admin
1304	ckmame    	NiH	Owner
1305	cksfv    	Heikki Orsila	Owner
1306	clamshell    	Jerronimo	Owner
1308	clanlib    	Sphair	Owner
1311	clarkconnect    	Point Clark Networks	Owner
1312	clarrhmos    	Dr. Alexandru Corlan	owner
1333	classweb    	Mike Franks	Owner
1334	classytcl    	Peter De Rijk	Owner
1338	clean_mail    	Jacques Guellec	Owner
1339	clig    	Harald Kirsch	Owner
1340	cliserv    	Curtis Ireland	Owner
1341	clisp    	Sam Steingold	Owner
1343	cloxx    	Peter J Jones	Owner
1349	cloneit    	Andreas Schiffler	Owner
1355	clusternfs    	Greg Warnes	Owner
1355	clusternfs    	Michal Ludvig	contributing programmer
1357	clusutils    	Dan Pape	Owner
1359	cmatrix    	Chris Allegretta	Owner
1360	cmb    	Zoltan (znu)	Owner
1361	cmc    	Raul Dias	Owner
1362	cmd5checkpw    	Krzysztof Dabrowski	Owner
1366	cmucl    	Eric Marsden	Owner
1367	cmusphinx    	imipak	Project Manager
1371	cmvision    	Jim Bruce	Owner
1373	co-browse    	Coldbeans	Owner
1376	cocalores    	Cord Beermann	Owner
1378	cocolinuxutilities    	Brian Hall	Owner
1379	cocoon    	Carsten Ziegeler	Owner
1379	cocoon    	Vadim Gritsenko	admin
1380	coda    	Jan Harkes	Owner
1383	codecrusader    	John Lindal	Owner
1384	codemedic    	John Lindal	Owner
1385	code2html    	Peter Palfrader (Weasel)	Owner
1387	codebase    	Sequiter Software Inc.	Owner
1389	codeguide    	Omnicore	Owner
1390	coder    	Satya	Owner
1396	cog    	David Leadbeater	Owner
1398	coin    	Lars J	Owner
1398	coin    	Morten Eriksen	Owner
1398	coin    	Thomas Hammer	Owner
1398	coin    	kyrah	Owner
1399	coldread    	linuxzealot	Owner
1400	coldstore    	ColdStore	Owner
1401	coldsync    	Arensb	Owner
1406	colormake    	Bjarni R. Einarsson	Project Manager
1411	colour_trace    	Ed Avis	Owner
1413	comanche    	Daniel Lopez	Owner
1416	comedi    	imipak	Owner
1420	commandhistory    	Suso Banderas	Owner
1425	commoncpp2    	David Sugar	Owner
1427	ccrtp    	David Sugar	Owner
1428	cups    	Michael Sweet	Owner
1429	communigatepro    	Ali	Owner
1438	cpqarrayd    	Spark	Owner
1439	compface    	Ben Wing	Owner
